MSN,YYYYMM,Value,Column_Order,Description,Unit
ELEGPUS,200406,331.531,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200407,362.932,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200408,354.509,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200409,322.329,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200410,299.476,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200411,289.208,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200412,327.775,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200413,3808.36,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200501,329.896,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200502,286.566,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200503,304.624,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200504,277.402,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200505,302.523,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200506,350.246,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200507,387.63,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200508,390.258,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200509,337.681,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200510,305.201,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200511,294.691,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200512,335.474,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200513,3902.192,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200601,315.254,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200602,295.333,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200603,306.041,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200604,285.788,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200605,317.522,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200606,351.36,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200607,396.263,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200608,393.589,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200609,319.181,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200610,308.218,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200611,296.571,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200612,322.957,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200613,3908.077,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200701,339.968,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200702,311.81,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200703,308.331,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200704,291.254,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200705,317.826,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200706,350.339,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200707,379.914,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200708,407.865,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200709,342.713,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200710,319.83,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200711,301.907,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200712,333.586,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200713,4005.343,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200801,349.836,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200802,313.292,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200803,312.41,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200804,294.203,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200805,313.216,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200806,360.612,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200807,389.318,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200808,375.612,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200809,327.021,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200810,306.769,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200811,299.222,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200812,332.839,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200813,3974.349,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200901,343.516,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200902,290.221,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200903,299.257,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200904,278.994,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200905,300.496,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200906,336.011,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200907,359.842,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200908,368.139,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200909,315.163,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200910,295.093,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200911,285.012,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200912,338.095,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200913,3809.837,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201001,348.128,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201002,307.994,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
